"BehaviorSpace results (NetLogo 6.2.0)"
"road-rage.nlogo"
"Control Exp:1"
"10/16/2021 01:39:12:976 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-8","8"
"[run number]","distance-to-travel","initial-number-of-road-rage-drivers","number-of-cops","acceleration","max-patience","number-of-cars","deceleration","[step]","count turtles","min [speed] of turtles","max [speed] of turtles","mean[speed] of turtles","min [patience] of turtles","max [patience] of turtles","mean[patience] of turtles"
"4","50000","5","2","0.006","50","20","0.02","46","20","0.5229953928970984","0.8021994610828879","0.6330669953273836","-1","48","13.35"
"4","50000","5","2","0.006","50","20","0.02","47","20","0.51","0.7820000000000003","0.6193570222732393","-1","48","13.25"
"1","50000","5","2","0.006","50","20","0.02","6","20","0.3899999999999999","0.7131777253560435","0.5980086457223968","-1","44","17.9"
"2","50000","5","2","0.006","50","20","0.02","40","20","0.53","0.8179760442049621","0.6748293251253288","-8","46","17.7"
"4","50000","5","2","0.006","50","20","0.02","48","20","0.496","0.7880000000000003","0.6190570222732393","-2","48","13.15"
"5","50000","5","2","0.006","50","20","0.02","43","20","0.44799999999999995","0.8900000000000003","0.6244597107833284","-21","48","15.15"
"2","50000","5","2","0.006","50","20","0.02","41","20","0.53","0.8238207545731124","0.6735731461020216","-8","46","17.6"
"3","50000","5","2","0.006","50","20","0.02","42","20","0.46399999999999997","0.7662285318794143","0.6175557702951966","-4","47","17.6"
"4","50000","5","2","0.006","50","20","0.02","49","20","0.508","0.7940000000000003","0.6200570222732393","-3","48","13.05"
"1","50000","5","2","0.006","50","20","0.02","7","20","0.3759999999999999","0.7251777253560435","0.596178542427775","-1","44","17.85"
"3","50000","5","2","0.006","50","20","0.02","43","20","0.44399999999999995","0.7662285318794143","0.6137557702951966","-4","47","17.5"
"2","50000","5","2","0.006","50","20","0.02","42","20","0.536","0.8238207545731124","0.6761731461020216","-8","46","17.5"
"5","50000","5","2","0.006","50","20","0.02","44","20","0.43599999999999994","0.8210119067967651","0.6055597107833286","-23","48","15"
"4","50000","5","2","0.006","50","20","0.02","50","20","0.52","0.8000000000000003","0.6227570222732393","-4","48","12.9"
"3","50000","5","2","0.006","50","20","0.02","44","20","0.4099999999999999","0.7662285318794143","0.6084557702951965","-6","47","17.3"
"5","50000","5","2","0.006","50","20","0.02","45","20","0.4159999999999999","0.8210119067967651","0.6046597107833286","-25","48","14.8"
"4","50000","5","2","0.006","50","20","0.02","51","20","0.53","0.8060000000000003","0.6221570222732393","-6","48","12.7"
"2","50000","5","2","0.006","50","20","0.02","43","20","0.542","0.8238207545731124","0.6800731461020216","-8","46","17.45"
"1","50000","5","2","0.006","50","20","0.02","8","20","0.3879999999999999","0.7371777253560435","0.601578542427775","0","44","17.8"
"3","50000","5","2","0.006","50","20","0.02","45","20","0.3959999999999999","0.7700000000000002","0.6077557702951967","-7","47","17.1"
"3","50000","5","2","0.006","50","20","0.02","46","20","0.3819999999999999","0.7760000000000002","0.6057557702951966","-8","47","16.85"
"4","50000","5","2","0.006","50","20","0.02","52","20","0.536","0.8120000000000003","0.6251570222732393","-7","48","12.65"
"1","50000","5","2","0.006","50","20","0.02","9","20","0.3999999999999999","0.7491777253560435","0.6053785424277751","-1","44","17.65"
"3","50000","5","2","0.006","50","20","0.02","47","20","0.3619999999999999","0.7820000000000003","0.6019557702951968","-9","47","16.75"
"4","50000","5","2","0.006","50","20","0.02","53","20","0.538","0.8180000000000003","0.6251570222732393","-8","48","12.55"
"2","50000","5","2","0.006","50","20","0.02","44","20","0.548","0.8238207545731124","0.6838549292935545","-8","46","17.35"
"5","50000","5","2","0.006","50","20","0.02","46","20","0.4079999999999999","0.8210119067967651","0.6033597107833286","-27","48","14.6"
"3","50000","5","2","0.006","50","20","0.02","48","20","0.35399999999999987","0.7880000000000003","0.6034557702951966","-10","47","16.65"
"1","50000","5","2","0.006","50","20","0.02","10","20","0.4119999999999999","0.7551777253560435","0.6101078997988333","-1","44","17.5"
"2","50000","5","2","0.006","50","20","0.02","45","20","0.55","0.8238207545731124","0.6853549292935545","-8","46","17.2"
"4","50000","5","2","0.006","50","20","0.02","54","20","0.544","0.8240000000000003","0.6228373517990244","-9","48","12.55"
"5","50000","5","2","0.006","50","20","0.02","47","20","0.3939999999999999","0.8210119067967651","0.6059597107833286","-27","48","14.55"
"3","50000","5","2","0.006","50","20","0.02","49","20","0.3599999999999999","0.7940000000000003","0.6032557702951965","-10","47","16.5"
"2","50000","5","2","0.006","50","20","0.02","46","20","0.55","0.8238207545731124","0.6889549292935545","-8","46","17.1"
"4","50000","5","2","0.006","50","20","0.02","55","20","0.528","0.8300000000000003","0.6238190021645829","-10","48","12.45"
"1","50000","5","2","0.006","50","20","0.02","11","20","0.42399999999999993","0.7611777253560436","0.6145776010006823","-1","44","17.4"
"2","50000","5","2","0.006","50","20","0.02","47","20","0.55","0.8238207545731124","0.6924132359469258","-8","46","17"
"4","50000","5","2","0.006","50","20","0.02","56","20","0.5251268526187867","0.8360000000000003","0.6239190021645828","-11","48","12.3"
